annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2022459;18/08/2022;midi;18/10/2022;4;6;14;15;17;19;27;28;36;37;38;40;42;43;50;51;59;60;61;62;2;5 078 332;eur;
2022458;17/08/2022;soir;17/10/2022;3;8;11;12;20;26;30;31;33;36;41;42;49;56;57;61;62;65;67;69;2;1 510 255;eur;
2022457;17/08/2022;midi;17/10/2022;2;3;10;18;20;24;25;27;43;45;46;47;48;50;52;64;65;67;68;70;2;8 301 678;eur;
2022456;16/08/2022;soir;16/10/2022;1;9;14;15;20;22;27;28;31;35;36;37;40;43;44;47;51;60;61;62;3;3 820 245;eur;
2022455;16/08/2022;midi;16/10/2022;1;2;12;18;23;24;26;28;31;32;33;34;41;47;48;50;54;55;56;70;3;3 070 175;eur;
2022454;15/08/2022;soir;15/10/2022;1;5;7;9;12;15;20;22;24;28;29;37;39;41;56;58;59;62;67;68;3;4 911 872;eur;
2022453;15/08/2022;midi;15/10/2022;3;7;11;14;16;24;31;33;38;48;51;52;53;56;60;61;63;64;66;67;3;8 297 626;eur;
2022452;14/08/2022;soir;14/10/2022;5;6;10;11;17;20;21;22;24;32;36;37;38;45;46;49;53;62;64;67;3;4 044 008;eur;
2022451;14/08/2022;midi;14/10/2022;2;4;11;13;18;22;26;30;33;38;43;44;49;51;56;61;64;66;68;70;2;9 258 681;eur;
2022450;13/08/2022;soir;13/10/2022;2;3;5;7;9;14;22;27;41;42;47;48;49;50;53;54;56;59;62;65;2;0 638 329;eur;
2022449;13/08/2022;midi;13/10/2022;4;6;10;12;15;24;28;34;35;37;40;43;46;47;52;56;59;60;66;69;3;7 604 865;eur;
